"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.201059240E-1,-2.710500062E-1,9.655050278E0,2.007000208E0
3.213659240E-1,-2.689500153E-1,9.631050110E0,2.055000067E0
3.226259240E-1,-2.470500171E-1,9.648000717E0,2.007000208E0
3.238861520E-1,-3.049500287E-1,9.685950279E0,2.068950176E0
3.251461540E-1,-2.710500062E-1,9.648000717E0,2.056950092E0
3.264061540E-1,-2.779500186E-1,9.576000214E0,1.996950150E0
3.276661540E-1,-2.809500098E-1,9.610050201E0,2.050050020E0
3.289261540E-1,-2.659500241E-1,9.660000801E0,2.047950029E0
3.301861490E-1,-2.779500186E-1,9.619050026E0,2.078999996E0
3.314461490E-1,-2.350500077E-1,9.603000641E0,2.020950079E0
3.327062240E-1,-2.419500053E-1,9.586050034E0,2.050050020E0
3.339662260E-1,-2.590500116E-1,9.648000717E0,2.038050175E0
3.352262260E-1,-3.070500195E-1,9.648000717E0,2.032950163E0
3.364862260E-1,-3.000000119E-1,9.648000717E0,2.026050091E0
3.377462260E-1,-2.760000229E-1,9.616950035E0,1.999950051E0
3.390064550E-1,-2.590500116E-1,9.655050278E0,2.008949995E0
3.402664620E-1,-2.470500171E-1,9.615000725E0,2.103000164E0
3.415264620E-1,-3.090000153E-1,9.598050117E0,2.055000067E0
3.427864620E-1,-2.980500162E-1,9.610050201E0,2.032950163E0
3.440464620E-1,-2.689500153E-1,9.622050285E0,2.076000214E0
3.453064620E-1,-2.830500007E-1,9.615000725E0,2.076000214E0
3.465665370E-1,-2.899500132E-1,9.619050026E0,2.059950113E0
3.478265390E-1,-2.639999986E-1,9.651000023E0,2.031000137E0
3.490865390E-1,-2.980500162E-1,9.636000633E0,2.055000067E0
3.503465440E-1,-2.569500208E-1,9.651000023E0,2.044950008E0
3.516065440E-1,-2.620500028E-1,9.616950035E0,2.038050175E0
3.528667730E-1,-2.980500162E-1,9.603000641E0,2.016000032E0
3.541267750E-1,-2.880000174E-1,9.622050285E0,2.047950029E0
3.553867750E-1,-2.830500007E-1,9.646050453E0,2.052000046E0
3.566467750E-1,-3.019500077E-1,9.619050026E0,2.044950008E0
3.579067750E-1,-2.740500271E-1,9.604950905E0,2.023950100E0
3.591667750E-1,-2.160000056E-1,9.592950821E0,2.074050188E0
3.604268450E-1,-2.569500208E-1,9.636000633E0,2.067000151E0
3.616868470E-1,-2.710500062E-1,9.610050201E0,1.995000124E0
3.629468470E-1,-2.539499998E-1,9.592950821E0,2.040000200E0
3.642068470E-1,-3.090000153E-1,9.652950287E0,2.038050175E0
3.654668470E-1,-2.860500216E-1,9.663000107E0,2.071950197E0
3.667268470E-1,-2.830500007E-1,9.631050110E0,2.059950113E0
3.679870760E-1,-3.090000153E-1,9.664950371E0,2.044950008E0
3.692470780E-1,-2.400000095E-1,9.664950371E0,2.032950163E0
3.705070730E-1,-2.779500186E-1,9.682050705E0,2.047950029E0
3.717670730E-1,-3.019500077E-1,9.640950203E0,2.040000200E0
3.730270730E-1,-3.120000064E-1,9.622050285E0,2.038050175E0
3.742871470E-1,-3.019500077E-1,9.651000023E0,2.023950100E0
3.755471490E-1,-2.350500077E-1,9.639000893E0,2.008949995E0
3.768071490E-1,-2.809500098E-1,9.639000893E0,2.028000116E0
3.780671490E-1,-2.830500007E-1,9.619050026E0,2.008949995E0
3.793271490E-1,-2.899500132E-1,9.624000549E0,2.038050175E0
3.805873730E-1,-2.860500216E-1,9.624000549E0,2.064000130E0
3.818473750E-1,-3.019500077E-1,9.648000717E0,2.032950163E0
3.831073750E-1,-2.639999986E-1,9.655050278E0,2.050050020E0
3.843673750E-1,-2.760000229E-1,9.639000893E0,2.040000200E0
3.856273750E-1,-2.449500114E-1,9.619050026E0,2.052000046E0
3.868873750E-1,-2.350500077E-1,9.592950821E0,2.064000130E0
3.881474500E-1,-2.950500250E-1,9.580950737E0,2.040000200E0
3.894074520E-1,-2.470500171E-1,9.634050369E0,2.035950184E0
3.906674670E-1,-2.620500028E-1,9.616950035E0,2.038050175E0
3.919274670E-1,-2.710500062E-1,9.588000298E0,2.067000151E0
3.931874670E-1,-3.049500287E-1,9.615000725E0,2.040000200E0
3.944474670E-1,-2.929500043E-1,9.652950287E0,1.995000124E0
3.957076960E-1,-2.760000229E-1,9.643050194E0,2.040000200E0
3.969676980E-1,-3.049500287E-1,9.664950371E0,2.028000116E0
3.982276980E-1,-2.950500250E-1,9.628950119E0,2.067000151E0
3.994876980E-1,-2.760000229E-1,9.628950119E0,2.067000151E0
4.007476690E-1,-2.639999986E-1,9.604950905E0,2.052000046E0
4.020076690E-1,-2.520000041E-1,9.639000893E0,2.035950184E0
4.032677440E-1,-2.639999986E-1,9.628950119E0,2.038050175E0
