"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
4.760141499E0,-2.634375191E1,-9.502500153E1,-5.908125305E1
4.780141839E0,-2.641875076E1,-9.472500610E1,-6.046875381E1
4.800137600E0,-2.662500191E1,-9.472500610E1,-5.908125305E1
4.820140438E0,-2.634375191E1,-9.491250610E1,-5.896875381E1
4.840143669E0,-2.645625114E1,-9.523125458E1,-5.930625153E1
4.860138827E0,-2.647500038E1,-9.573750305E1,-5.896875381E1
4.880139855E0,-2.643750191E1,-9.470625305E1,-5.827500153E1
4.900140225E0,-2.621250153E1,-9.450000000E1,-5.896875381E1
4.920134526E0,-2.655000114E1,-9.513750458E1,-5.896875381E1
4.940137604E0,-2.647500038E1,-9.553125000E1,-5.908125305E1
4.960135810E0,-2.643750191E1,-9.470625305E1,-5.872500229E1
4.980128357E0,-2.625000191E1,-9.511875153E1,-5.885625076E1
5.000130162E0,-2.625000191E1,-9.491250610E1,-5.861250305E1
5.020127394E0,-2.625000191E1,-9.500625610E1,-5.919375229E1
5.040132853E0,-2.626875114E1,-9.337500000E1,-5.769375229E1
5.060144147E0,-2.613750076E1,-9.459375000E1,-5.896875381E1
5.080139699E0,-2.630625153E1,-9.429375458E1,-5.896875381E1
5.100143265E0,-2.647500038E1,-9.410625458E1,-5.953125381E1
5.120141671E0,-2.640000153E1,-9.440625000E1,-5.977500153E1
5.140135161E0,-2.632500076E1,-9.451875305E1,-5.872500229E1
5.160138680E0,-2.653125191E1,-9.339375305E1,-5.941875076E1
5.180138293E0,-2.617500114E1,-9.378750610E1,-5.874375153E1
5.200130701E0,-2.638125038E1,-9.390000153E1,-5.908125305E1
5.220134644E0,-2.623125076E1,-9.459375000E1,-5.885625076E1
5.240133137E0,-2.649375153E1,-9.583125305E1,-5.896875381E1
5.260139176E0,-2.660625076E1,-9.451875305E1,-5.953125381E1
5.280140398E0,-2.656875038E1,-9.523125458E1,-5.850000381E1
5.300137728E0,-2.634375191E1,-9.481875610E1,-5.885625076E1
5.320140324E0,-2.634375191E1,-9.511875153E1,-5.964375305E1
5.340140115E0,-2.628750038E1,-9.551250458E1,-5.861250305E1
5.360133616E0,-2.617500114E1,-9.378750610E1,-6.011250305E1
5.380137330E0,-2.621250153E1,-9.461250305E1,-5.964375305E1
5.400136985E0,-2.632500076E1,-9.461250305E1,-5.919375229E1
5.420132779E0,-2.651250076E1,-9.483750153E1,-6.046875381E1
5.440136361E0,-2.628750038E1,-9.573750305E1,-5.872500229E1
5.460133201E0,-2.651250076E1,-9.483750153E1,-5.964375305E1
5.480138175E0,-2.628750038E1,-9.378750610E1,-5.919375229E1
5.500140455E0,-2.632500076E1,-9.481875610E1,-5.919375229E1
5.520139009E0,-2.628750038E1,-9.378750610E1,-5.874375153E1
5.540132309E0,-2.662500191E1,-9.320625305E1,-5.953125381E1
5.560134152E0,-2.628750038E1,-9.399375153E1,-6.000000381E1
5.580131488E0,-2.641875076E1,-9.440625000E1,-5.919375229E1
5.600136685E0,-2.608125114E1,-9.378750610E1,-5.908125305E1
5.620137788E0,-2.621250153E1,-9.450000000E1,-5.896875381E1
5.640131498E0,-2.630625153E1,-9.408750153E1,-5.827500153E1
5.660133864E0,-2.653125191E1,-9.328125000E1,-5.885625076E1
5.680133657E0,-2.660625076E1,-9.431250000E1,-5.930625153E1
5.700129535E0,-2.638125038E1,-9.583125305E1,-5.885625076E1
5.720133792E0,-2.634375191E1,-9.491250610E1,-5.941875076E1
5.740132898E0,-2.670000076E1,-9.442500305E1,-5.964375305E1
5.760139368E0,-2.664375114E1,-9.502500153E1,-5.885625076E1
5.780138751E0,-2.638125038E1,-9.573750305E1,-5.850000381E1
5.800135172E0,-2.647500038E1,-9.553125000E1,-5.885625076E1
5.820138124E0,-2.636250114E1,-9.543750000E1,-5.977500153E1
5.840136540E0,-2.653125191E1,-9.481875610E1,-5.850000381E1
5.860132951E0,-2.630625153E1,-9.399375153E1,-5.793750381E1
5.880137193E0,-2.632500076E1,-9.481875610E1,-5.908125305E1
5.900136708E0,-2.641875076E1,-9.472500610E1,-5.964375305E1
5.920131750E0,-2.645625114E1,-9.502500153E1,-5.861250305E1
5.940138943E0,-2.653125191E1,-9.493125153E1,-5.953125381E1
5.960137316E0,-2.651250076E1,-9.461250305E1,-5.941875076E1
5.980130964E0,-2.643750191E1,-9.491250610E1,-5.941875076E1
6.000136328E0,-2.613750076E1,-9.470625305E1,-5.908125305E1
6.020133766E0,-2.625000191E1,-9.511875153E1,-5.896875381E1
6.040139522E0,-2.638125038E1,-9.378750610E1,-5.896875381E1
6.060139692E0,-2.640000153E1,-9.440625000E1,-5.953125381E1
6.080134687E0,-2.641875076E1,-9.461250305E1,-5.941875076E1
6.100142203E0,-2.628750038E1,-9.388125610E1,-5.896875381E1
6.120138628E0,-2.615625191E1,-9.348750305E1,-5.919375229E1
6.140149650E0,-2.636250114E1,-9.521250153E1,-5.872500229E1
6.160138407E0,-2.619375038E1,-9.256875610E1,-6.069375229E1
6.180136634E0,-2.656875038E1,-9.360000610E1,-5.885625076E1
6.200131351E0,-2.651250076E1,-9.472500610E1,-5.977500153E1
6.220134407E0,-2.625000191E1,-9.328125000E1,-5.896875381E1
6.240131176E0,-2.643750191E1,-9.328125000E1,-5.919375229E1
6.260136305E0,-2.658750153E1,-9.391875458E1,-5.885625076E1
6.280138243E0,-2.647500038E1,-9.226875305E1,-6.033750153E1
6.300133349E0,-2.638125038E1,-9.399375153E1,-5.896875381E1
6.320138237E0,-2.641875076E1,-9.440625000E1,-5.908125305E1
6.340138364E0,-2.617500114E1,-9.541875458E1,-5.977500153E1
6.360134500E0,-2.653125191E1,-9.493125153E1,-5.919375229E1
6.380138318E0,-2.647500038E1,-9.226875305E1,-6.000000381E1
6.400136549E0,-2.634375191E1,-9.511875153E1,-5.964375305E1
6.420130148E0,-2.619375038E1,-9.573750305E1,-5.908125305E1
6.440133873E0,-2.619375038E1,-9.420000458E1,-5.919375229E1
6.460135378E0,-2.645625114E1,-9.523125458E1,-5.896875381E1
6.480130403E0,-2.651250076E1,-9.483750153E1,-6.011250305E1
6.500133558E0,-2.653125191E1,-9.493125153E1,-5.885625076E1
6.520132173E0,-2.660625076E1,-9.463125610E1,-6.000000381E1
6.540138168E0,-2.658750153E1,-9.380625153E1,-5.838750076E1
6.560137134E0,-2.615625191E1,-9.348750305E1,-5.988750076E1
6.580132332E0,-2.660625076E1,-9.463125610E1,-5.977500153E1
6.600137628E0,-2.651250076E1,-9.451875305E1,-5.861250305E1
6.620138707E0,-2.638125038E1,-9.388125610E1,-5.851875305E1
6.640134267E0,-2.643750191E1,-9.481875610E1,-5.941875076E1
6.660137826E0,-2.641875076E1,-9.451875305E1,-5.919375229E1
6.680136401E0,-2.666250038E1,-9.360000610E1,-5.896875381E1
6.700129786E0,-2.658750153E1,-9.421875000E1,-5.930625153E1
6.720136173E0,-2.641875076E1,-9.451875305E1,-5.964375305E1
6.740132842E0,-2.656875038E1,-9.360000610E1,-5.872500229E1
6.760137320E0,-2.647500038E1,-9.399375153E1,-5.908125305E1
6.780138417E0,-2.649375153E1,-9.390000153E1,-5.782500076E1
6.800135215E0,-2.638125038E1,-9.399375153E1,-5.908125305E1
6.820140232E0,-2.632500076E1,-9.451875305E1,-5.885625076E1
6.840139818E0,-2.634375191E1,-9.491250610E1,-5.872500229E1
6.860134128E0,-2.649375153E1,-9.410625458E1,-5.885625076E1
6.880136034E0,-2.643750191E1,-9.277500153E1,-5.793750381E1
6.900138071E0,-2.638125038E1,-9.421875000E1,-6.011250305E1
6.920134128E0,-2.653125191E1,-9.491250610E1,-5.872500229E1
6.940135459E0,-2.658750153E1,-9.564375305E1,-5.885625076E1
6.960134477E0,-2.643750191E1,-9.481875610E1,-5.885625076E1
6.980129443E0,-2.651250076E1,-9.461250305E1,-5.977500153E1
7.000132970E0,-2.643750191E1,-9.481875610E1,-5.919375229E1
7.020130124E0,-2.626875114E1,-9.532500458E1,-5.964375305E1
7.040141685E0,-2.623125076E1,-9.491250610E1,-5.919375229E1
7.060129192E0,-2.621250153E1,-9.470625305E1,-6.000000381E1
7.080127563E0,-2.623125076E1,-9.481875610E1,-5.930625153E1
7.100134785E0,-2.679375076E1,-9.453750610E1,-5.919375229E1
7.120135865E0,-2.638125038E1,-9.421875000E1,-5.941875076E1
7.140132728E0,-2.625000191E1,-9.328125000E1,-5.896875381E1
7.160136833E0,-2.632500076E1,-9.470625305E1,-5.919375229E1
7.180134407E0,-2.666250038E1,-9.360000610E1,-5.896875381E1
7.200145510E0,-2.673750114E1,-9.318750000E1,-5.746875381E1
7.220138653E0,-2.670000076E1,-9.442500305E1,-5.908125305E1
7.240134386E0,-2.651250076E1,-9.472500610E1,-5.930625153E1
7.260149625E0,-2.656875038E1,-9.369375610E1,-5.816250229E1
7.280147915E0,-2.653125191E1,-9.328125000E1,-5.861250305E1
7.300141937E0,-2.673750114E1,-9.330000305E1,-5.908125305E1
7.320144461E0,-2.668125153E1,-9.391875458E1,-5.816250229E1
7.340140940E0,-2.664375114E1,-9.523125458E1,-5.919375229E1
7.360133760E0,-2.675625038E1,-9.361875153E1,-5.941875076E1
7.380137993E0,-2.653125191E1,-9.309375000E1,-5.930625153E1
7.400134882E0,-2.685000038E1,-9.371250153E1,-5.977500153E1
7.420141653E0,-2.645625114E1,-9.543750000E1,-5.941875076E1
7.440142681E0,-2.660625076E1,-9.442500305E1,-5.941875076E1
7.460139085E0,-2.677500153E1,-9.391875458E1,-5.930625153E1
7.480143459E0,-2.662500191E1,-9.502500153E1,-5.930625153E1
7.500141359E0,-2.703750038E1,-9.515625000E1,-5.896875381E1
7.520135700E0,-2.668125153E1,-9.391875458E1,-5.793750381E1
7.540140090E0,-2.664375114E1,-9.502500153E1,-5.908125305E1
7.560140403E0,-2.662500191E1,-9.493125153E1,-5.977500153E1
7.580135987E0,-2.671875191E1,-9.483750153E1,-5.919375229E1
7.600139838E0,-2.655000114E1,-9.513750458E1,-5.861250305E1
7.620138804E0,-2.660625076E1,-9.442500305E1,-5.885625076E1
7.640133481E0,-2.645625114E1,-9.532500458E1,-5.964375305E1
7.660134878E0,-2.681250191E1,-9.474375153E1,-5.988750076E1
7.680132018E0,-2.715000153E1,-9.556875610E1,-5.919375229E1
7.700141672E0,-2.668125153E1,-9.585000610E1,-5.872500229E1
7.720145546E0,-2.688750076E1,-9.586875153E1,-5.861250305E1
7.740141497E0,-2.690625191E1,-9.474375153E1,-5.988750076E1
7.760145588E0,-2.675625038E1,-9.545625305E1,-5.919375229E1
7.780144325E0,-2.651250076E1,-9.472500610E1,-6.046875381E1
7.800139655E0,-2.658750153E1,-9.553125000E1,-5.827500153E1
7.820144573E0,-2.666250038E1,-9.564375305E1,-5.885625076E1
7.840140333E0,-2.683125114E1,-9.504375458E1,-5.861250305E1
